Airport Code,Latitude,Longitude
MAZ,18.25569444,-67.14847222
RVR,18.24526944,-65.64338056
STT,18.33730556,-64.97336111
STX,17.70155583,-64.80172194
4C4,44.88338056,-71.49952861
PSE,18.00830556,-66.56302778
CEF,42.19401389,-72.53478333
7B9,41.92541667,-72.45711111
7B2,42.32816806,-72.61151667
BAF,42.15773111,-72.71562028
PSF,42.42683333,-73.29291667
GBR,42.18421417,-73.40324056
AQW,42.69621667,-73.17021111
ORE,42.57012639,-72.28861028
0B5,42.59136361,-72.52275472
FIT,42.55411111,-71.75897222
GDM,42.54986639,-72.01602194
8B5,42.35638889,-72.13008333
3B0,42.10111111,-72.03883333
60M,42.2905,-71.96469444
ORH,42.26733944,-71.87570944
1B6,42.10648583,-71.51009
9B1,42.34316667,-71.509
6B6,42.46116111,-71.51867917
BVY,42.58414103,-70.91614442
1B9,42.00013306,-71.19677139
GHG,42.09825,-70.67213889
OWD,42.19052778,-71.17294444
2B2,42.79536111,-70.83944444
VKX,38.74864167,-76.95592222
BED,42.46995306,-71.28903
BOS,42.36297222,-71.00641667
28M,42.02513889,-70.83811111
PYM,41.90902778,-70.72877778
5B6,41.58558333,-70.54036111
1B2,41.35845056,-70.52447056
ACK,41.25311111,-70.06030556
MVY,41.39301389,-70.61431836
HYA,41.66933333,-70.28036111
2B1,41.68527778,-70.40225
CQX,41.68830556,-69.98965278
PVC,42.07227778,-70.22072222
EWB,41.67655556,-70.95780556
1M8,41.83905556,-71.02647222
TAN,41.87440167,-71.01664528
OQU,41.59713889,-71.41213889
BID,41.16811111,-71.57783333
UUU,41.53243972,-71.28154389
SFZ,41.92076333,-71.49138139
PVD,41.72399917,-71.42822111
WST,41.34961694,-71.80337778
08R,41.4895,-71.62063889
ASH,42.78175,-71.51477778
MHT,42.93280433,-71.43573911
2N2,43.59201806,-71.75146806
5M3,43.7684075,-71.38673889
1P1,43.77923806,-71.75369056
CON,43.20272222,-71.50227778
LCI,43.57304167,-71.41784167
EEN,42.89838889,-72.27077778
8B1,43.06674694,-71.89952389
AFN,42.80513417,-72.00302194
BML,44.57537278,-71.17593167
ERR,44.79254972,-71.164245
1B5,44.19589694,-71.74953056
2G8,44.39465558,-71.19795389
8B2,44.26406408,-71.54674869
HIE,44.36761639,-71.54447111
CNH,43.37043194,-72.36867667
LEB,43.62611111,-72.30419444
2B3,43.38812944,-72.18925417
5B9,44.08017283,-72.00775992
PSM,43.07794444,-70.82327778
DAW,43.28405556,-70.92927778
7B3,42.96258944,-70.82866417
3B3,42.42591667,-71.79286111
3B4,43.1431425,-70.77227667
B19,43.46411111,-70.47238889
08B,44,-69.88713889
