,MONTH,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,AVG(DEP_DELAY),AVG(DEP_DELAY_NEW),AVG(ARR_DELAY),AVG(ARR_DELAY_NEW),SUM(CANCELLED),SUM(FLIGHTS)
1,1,ABE,PA,ATL,GA,4.6857142857,7.2142857143,-1.2714285714,10.0142857143,0,70
2,1,ABE,PA,DTW,MI,9.3428571429,12.3285714286,5.3571428571,12.6571428571,0,70
3,1,ABE,PA,ORD,IL,8.9473684211,14.3684210526,10,19.4210526316,0,19
4,1,ABI,TX,DFW,TX,6.1422222222,10.7777777778,7.0711111111,13.6933333333,0,225
5,1,ABQ,NM,ATL,GA,9.1698113208,12.5660377358,7.0754716981,15.3018867925,0,53
6,1,ABQ,NM,BWI,MD,19.064516129,20.1935483871,10.7096774194,14.4193548387,0,31
7,1,ABQ,NM,DAL,TX,15.2517006803,16.4693877551,13.7823129252,16.8367346939,0,147
8,1,ABQ,NM,DEN,CO,7.4526315789,9.7473684211,2,8.7263157895,0,95
9,1,ABQ,NM,DFW,TX,4.7154471545,8.8292682927,9.3089430894,13.4471544715,0,123
10,1,ABQ,NM,HOU,TX,7.8720930233,10.0813953488,4.7441860465,10.3372093023,0,86
11,1,ABQ,NM,IAH,TX,9.962962963,15.7685185185,10,16.8333333333,0,108
12,1,ABQ,NM,JFK,NY,11.65,16.7,12,18.15,0,20
13,1,ABQ,NM,LAS,NV,9.5042735043,11.3846153846,4.3931623932,10.5897435897,0,117
14,1,ABQ,NM,LAX,CA,7.0066225166,9.6490066225,0.3973509934,8.6821192053,0,151
15,1,ABQ,NM,MCI,MO,18.2962962963,20.0740740741,11.2222222222,19.4074074074,0,27
16,1,ABQ,NM,MDW,IL,7.4385964912,9.3333333333,1.6842105263,9.0877192982,0,57
17,1,ABQ,NM,MSP,MN,3.8571428571,5.1428571429,6.7142857143,9,0,7
18,1,ABQ,NM,OAK,CA,6.2586206897,8.6724137931,-4.3103448276,6.3793103448,0,58
19,1,ABQ,NM,ORD,IL,44.8148148148,48.1111111111,64.7037037037,66.5185185185,0,27
20,1,ABQ,NM,PDX,OR,12.6,13,12.4,12.4,0,5
21,1,ABQ,NM,PHX,AZ,9.9734513274,12.6150442478,11.1283185841,14.7743362832,0,226
22,1,ABQ,NM,SAN,CA,12.5769230769,14.4038461538,2.2115384615,10,0,52
23,1,ABQ,NM,SEA,WA,1.3064516129,6.7419354839,-1.9032258065,6.4516129032,0,62
24,1,ABQ,NM,SFO,CA,13.3870967742,16.7096774194,5.6774193548,14.6451612903,0,31
25,1,ABQ,NM,SLC,UT,-0.7228915663,3.9156626506,-5.7951807229,4.0240963855,0,83
26,1,ABR,SD,MSP,MN,24.5,28.4333333333,23.5833333333,29.2666666667,0,60
27,1,ABY,GA,ATL,GA,5.6202531646,9.3164556962,2.2911392405,10.746835443,0,79
28,1,ACT,TX,DFW,TX,7.838028169,12.5211267606,8.2957746479,14.2112676056,0,142
29,1,ACV,CA,SFO,CA,24.5547945205,28.8767123288,22.2397260274,29.3287671233,0,146
30,1,ACY,NJ,FLL,FL,4.1304347826,8.2173913043,-1.2391304348,7.7391304348,0,92
31,1,ACY,NJ,MCO,FL,4.4505494505,9.4395604396,4.9450549451,11.6153846154,0,91
32,1,ACY,NJ,MYR,SC,-5.7666666667,0.9,-5.6666666667,1.7666666667,0,30
