"","DAY_OF_WEEK","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","DEP_DELAY","DEP_DELAY_NEW","ARR_DELAY","ARR_DELAY_NEW","AVG(DEP_DELAY)","AVG(DEP_DELAY_NEW)","AVG(ARR_DELAY)","AVG(ARR_DELAY_NEW)","SUM(CANCELLED)","SUM(FLIGHTS)"
"1",1,"ABE","PA","ATL","GA",42,42,33,33,5,7.95973154362416,3.21476510067114,9.93288590604027,0,149
"2",1,"ABE","PA","DTW","MI",12,12,8,8,12.0928571428571,14.9714285714286,9.18571428571429,15.8214285714286,0,140
"3",1,"ABE","PA","ORD","IL",8,8,24,24,17.3982300884956,20.7433628318584,17.0973451327434,23.5575221238938,0,113
"4",1,"ABI","TX","DFW","TX",-6,0,-11,0,7.44067796610169,12.8559322033898,5.44350282485876,14.7429378531073,0,354
"5",1,"ABQ","NM","ATL","GA",469,469,471,471,19.1145038167939,22.6412213740458,11.7022900763359,22.0229007633588,0,131
"6",1,"ABQ","NM","BWI","MD",10,10,-8,0,11.4935064935065,12.6623376623377,5.09090909090909,12.038961038961,0,77
"7",1,"ABQ","NM","CLT","NC",6,6,-2,0,-3.69230769230769,0.615384615384615,-14.3076923076923,0.307692307692308,0,13
"8",1,"ABQ","NM","DAL","TX",67,67,64,64,15.1496062992126,16.5393700787402,13.3070866141732,16.5984251968504,0,254
"9",1,"ABQ","NM","DEN","CO",95,95,87,87,11.469465648855,14.3854961832061,4.56870229007634,12.5763358778626,0,262
"10",1,"ABQ","NM","DFW","TX",-7,0,-25,0,14.4007220216607,18.8447653429603,13.2310469314079,20.7472924187726,0,277
"11",1,"ABQ","NM","HOU","TX",8,8,6,6,6.38709677419355,8,2.75483870967742,7.81935483870968,0,155
"12",1,"ABQ","NM","IAH","TX",-2,0,-10,0,13.7936507936508,18.7619047619048,11.2222222222222,18.7222222222222,0,126
"13",1,"ABQ","NM","JFK","NY",11,11,-4,0,9.27450980392157,12.3725490196078,2.66666666666667,10.921568627451,0,51
"14",1,"ABQ","NM","LAS","NV",28,28,31,31,11.384236453202,13.3004926108374,6.99507389162562,12.6551724137931,0,203
"15",1,"ABQ","NM","LAX","CA",5,5,16,16,8.81972789115646,11.5612244897959,6.54761904761905,12.0544217687075,0,294
"16",1,"ABQ","NM","MCI","MO",125,125,126,126,17.1538461538462,18.5384615384615,11.9038461538462,16.6538461538462,0,52
"17",1,"ABQ","NM","MCO","FL",-1,0,-11,0,11.5714285714286,13.3571428571429,4.14285714285714,11.5714285714286,0,14
"18",1,"ABQ","NM","MDW","IL",12,12,2,2,11.7857142857143,13.1938775510204,3.26530612244898,11.5918367346939,0,98
"19",1,"ABQ","NM","MSP","MN",-4,0,-19,0,-1.45945945945946,2.08108108108108,-2.64864864864865,4.72972972972973,0,37
"20",1,"ABQ","NM","OAK","CA",12,12,5,5,6.67625899280576,8.28776978417266,-2.67625899280576,5.98561151079137,0,139
"21",1,"ABQ","NM","ORD","IL",-3,0,-8,0,20.6593406593407,23.2527472527473,16.1978021978022,25.7252747252747,0,91
"22",1,"ABQ","NM","PDX","OR",25,25,4,4,1.48717948717949,4.07692307692308,-6.82051282051282,2.56410256410256,0,39
"23",1,"ABQ","NM","PHX","AZ",19,19,18,18,10.5355329949239,12.6319796954315,9.86548223350254,13.3172588832487,0,394
"24",1,"ABQ","NM","SAN","CA",23,23,14,14,7.52884615384615,9.45192307692308,1.65384615384615,8.42307692307692,0,104
"25",1,"ABQ","NM","SEA","WA",-4,0,-22,0,-2.42622950819672,5.42622950819672,-10.6065573770492,6.14754098360656,0,61
"26",1,"ABQ","NM","SFO","CA",3,3,15,15,18.7307692307692,22.6153846153846,13.6153846153846,21.0192307692308,0,52
"27",1,"ABQ","NM","SLC","UT",42,42,28,28,-0.11038961038961,4.78571428571429,-7.6038961038961,4.50649350649351,0,154
"28",1,"ABR","SD","MSP","MN",1,1,11,11,17.8857142857143,20.9047619047619,17.9333333333333,22.8095238095238,0,105
"29",1,"ABY","GA","ATL","GA",-6,0,-11,0,10.5033112582781,13.5629139072848,11.2119205298013,15.2582781456954,0,151
"30",1,"ACK","MA","BOS","MA",-6,0,-15,0,9.5,10.6111111111111,3.38888888888889,8.61111111111111,0,18
"31",1,"ACK","MA","DCA","VA",2,2,-2,0,-5,1,-5.5,0,0,2
"32",1,"ACK","MA","JFK","NY",-9,0,-16,0,26.5192307692308,29.4807692307692,19.0192307692308,27.8461538461538,0,52
"33",1,"ACT","TX","DFW","TX",-3,0,-7,0,3.00404858299595,8.49392712550607,0.121457489878543,9.37651821862348,0,247
"34",1,"ACV","CA","SFO","CA",-7,0,-9,0,18.1785714285714,22.25,15.6479591836735,22.7142857142857,0,196
"35",1,"ACY","NJ","ATL","GA",1,1,16,16,5.44827586206897,9.89655172413793,4.93103448275862,12.2068965517241,0,29
"36",1,"ACY","NJ","BOS","MA",34,34,45,45,32.6538461538462,34.9615384615385,38.6538461538462,40.1153846153846,0,26
"37",1,"ACY","NJ","DTW","MI",-2,0,-18,0,43.9523809523809,44.4285714285714,38.8095238095238,41.3809523809524,0,21
"38",1,"ACY","NJ","FLL","FL",4,4,-5,0,2.84,7.464,1.976,8.864,0,125
"39",1,"ACY","NJ","MCO","FL",12,12,6,6,6.4016393442623,10.6475409836066,4.69672131147541,11.0245901639344,0,122
"40",1,"ACY","NJ","MYR","SC",-7,0,-19,0,4,10.0769230769231,1.73076923076923,10.3076923076923,0,52
"41",1,"ACY","NJ","ORD","IL",-5,0,-17,0,46.4210526315789,47.7894736842105,42.6315789473684,47.3684210526316,0,19
"42",1,"ACY","NJ","PBI","FL",2,2,-9,0,2.81818181818182,8.63636363636364,-2.40909090909091,9,0,22
"43",1,"ACY","NJ","RSW","FL",2,2,-19,0,12.7083333333333,16.5138888888889,9.23611111111111,16.4444444444444,0,72
"44",1,"ACY","NJ","TPA","FL",-8,0,-19,0,7.63461538461539,12.0961538461538,5.26923076923077,12.8653846153846,0,52
"45",1,"ADQ","AK","ANC","AK",-7,0,0,0,-0.914285714285714,5.38571428571429,1.5,7.07142857142857,0,70
"46",1,"AEX","LA","ATL","GA",-9,0,-5,0,20.2029702970297,23.9752475247525,21.7326732673267,26.0940594059406,0,202
"47",1,"AEX","LA","DFW","TX",20,20,19,19,13.6827586206897,18.4275862068966,14.2275862068966,21.8758620689655,0,145
"48",1,"AEX","LA","IAH","TX",-9,0,-12,0,10.1920529801325,15.4105960264901,6.84105960264901,16.8940397350993,0,151
"49",1,"AGS","GA","ATL","GA",0,0,-3,0,9.59848484848485,13.1868686868687,10.1060606060606,14.8636363636364,0,396
"50",1,"AKN","AK","ANC","AK",29,29,29,29,5,8.33333333333333,7.55555555555556,10.3333333333333,0,9
"51",1,"ALB","NY","ATL","GA",-7,0,-46,0,6.86451612903226,9.16774193548387,-4.2,8.18064516129032,0,155
"52",1,"ALB","NY","BWI","MD",-4,0,-15,0,7.40520446096654,10.003717472119,-1.0631970260223,8.29739776951673,0,269
"53",1,"ALB","NY","CLT","NC",40,40,31,31,3.95495495495495,7.95495495495495,-0.45045045045045,9.44144144144144,0,111
"54",1,"ALB","NY","DTW","MI",-7,0,-2,0,0,4.50617283950617,-4.87654320987654,5.48148148148148,0,81
"55",1,"ALB","NY","EWR","NJ",29,29,5,5,15.0769230769231,20.6538461538462,13.0769230769231,21.7692307692308,0,26
"56",1,"ALB","NY","FLL","FL",-1,0,-28,0,-2.29787234042553,1.17021276595745,-13.9574468085106,1.5531914893617,0,47
"57",1,"ALB","NY","IAD","VA",66,66,58,58,66,66,58,58,0,1
"58",1,"ALB","NY","LAS","NV",-4,0,-39,0,6.95348837209302,8.72093023255814,-7.95348837209302,7.86046511627907,0,43
"59",1,"ALB","NY","MCO","FL",-4,0,-32,0,3.875,6.92708333333333,-6.51041666666667,7.02083333333333,0,96
"60",1,"ALB","NY","MDW","IL",-4,0,-34,0,12.5816326530612,14.8367346938776,1.72448979591837,14,0,98
"61",1,"ALB","NY","MSP","MN",-6,0,-23,0,-3.47058823529412,0.382352941176471,-8.29411764705882,2.02941176470588,0,34
"62",1,"ALB","NY","ORD","IL",13,13,8,8,3.45588235294118,7.91911764705882,-1.41911764705882,9.93382352941176,0,136
"63",1,"ALB","NY","TPA","FL",-2,0,-30,0,0.160714285714286,3.25,-14.6964285714286,2.67857142857143,0,56
"64",1,"ALO","IA","ORD","IL",-7,0,-18,0,9.22826086956522,14.8695652173913,2.95652173913043,15.8152173913043,0,92
"65",1,"AMA","TX","DAL","TX",31,31,31,31,5.14851485148515,7.46039603960396,4.43069306930693,8.45049504950495,0,202
"66",1,"AMA","TX","DEN","CO",-4,0,-12,0,1.25882352941176,5.90588235294118,-2.27058823529412,5.96470588235294,0,85
"67",1,"AMA","TX","DFW","TX",0,0,-21,0,3.78616352201258,8.65408805031447,3.05031446540881,10.7358490566038,0,159
"68",1,"AMA","TX","IAH","TX",0,0,4,4,8.29452054794521,13.5205479452055,7.33561643835616,14.8630136986301,0,146
"69",1,"AMA","TX","LAS","NV",-1,0,-11,0,3.74509803921569,6.52941176470588,-5.50980392156863,6.47058823529412,0,51
