"","UNIQUE_CARRIER","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","DEP_DELAY","DEP_DELAY_NEW","ARR_DELAY","ARR_DELAY_NEW","AVG(DEP_DELAY)","AVG(DEP_DELAY_NEW)","AVG(ARR_DELAY)","AVG(ARR_DELAY_NEW)","SUM(CANCELLED)","SUM(FLIGHTS)"
"1","AA","ABQ","NM","CLT","NC",-2,0,-17,0,-0.768115942028985,2.52173913043478,-12.8840579710145,1.42028985507246,0,69
"2","AA","ABQ","NM","DFW","TX",-4,0,-15,0,8.53678756476684,12.7958549222798,7.24300518134715,14.3844559585492,0,1930
"3","AA","ABQ","NM","PHX","AZ",-9,0,-19,0,-9,0,-19,0,0,1
"4","AA","ALB","NY","CLT","NC",-4,0,1,1,2.71830985915493,6.78169014084507,-5.26760563380282,7.41784037558685,0,426
"5","AA","ANC","AK","DFW","TX",7,7,-3,0,25.0661157024793,25.6776859504132,13.4793388429752,21.495867768595,0,121
"6","AA","ANC","AK","PHX","AZ",-6,0,-18,0,14.1767955801105,16.2762430939227,7.65745856353591,15.9668508287293,0,181
"7","AA","ATL","GA","CLT","NC",0,0,55,55,2.21152494729445,5.44342937456079,1.1145467322558,8.06254392129304,0,1423
"8","AA","ATL","GA","DFW","TX",-4,0,-7,0,10.1750732183534,12.9323136999675,3.83631630328669,12.997071265864,0,3073
"9","AA","ATL","GA","LAX","CA",3,3,9,9,2.78234582829504,6.57799274486094,-1.43047158403869,8.35187424425635,0,827
"10","AA","ATL","GA","MIA","FL",1,1,2,2,4.3601108033241,7.5207756232687,3.19759926131117,8.61311172668513,0,1083
"11","AA","ATL","GA","ORD","IL",50,50,10,10,9.75945945945946,13.7243243243243,-1.01081081081081,13.9783783783784,0,370
"12","AA","ATL","GA","PHL","PA",59,59,45,45,2.96649214659686,6.5717277486911,-0.919371727748691,7.72670157068063,0,955
"13","AA","ATL","GA","PHX","AZ",21,21,27,27,3.94675540765391,6.79534109816972,-2.95341098169717,6.6738768718802,0,601
